id,Order number,Date,Plant family,Placement,Phone,Color,Cost
129,2851,10/08/18,Verbenaceae,5370 Blue Bill Park Parkway,739-423-0132,Orange,$5.48 
130,1567,05/11/18,Onagraceae,2734 Brentwood Plaza,387-974-9147,Red,$5.13 
131,2627,06/19/18,Asteraceae,95930 Swallow Court,863-809-8512,Goldenrod,$7.79 
132,2246,06/28/18,Saxifragaceae,58 Tennessee Lane,330-427-4315,Maroon,$9.67 
133,1672,09/25/18,Bixaceae,1450 Bluejay Pass,508-666-6554,Crimson,$9.68 
134,2143,07/01/18,Primulaceae,2408 Washington Lane,805-898-1558,Green,$9.14 
135,1127,08/04/18,Lycopodiaceae,77 Sunbrook Hill,935-779-2949,Blue,$7.87 
136,2358,09/14/18,Fabaceae,899 Sage Court,311-579-0131,Teal,$7.05 
137,2835,07/30/18,Liliaceae,81 Gateway Circle,723-530-6688,Mauv,$7.10 
138,1032,10/01/18,Oleaceae,51 Mayer Plaza,681-241-6627,Goldenrod,$8.25 
139,2541,07/31/18,Brassicaceae,43 Thierer Plaza,814-924-3021,Teal,$7.41 
140,1263,08/31/18,Rutaceae,378 Barnett Trail,814-960-5115,Mauv,$7.98 
141,1003,06/05/18,Sematophyllaceae,8 Judy Trail,316-641-5076,Khaki,$7.87 
142,2221,09/27/18,Asteraceae,4 Messerschmidt Park,882-793-0062,Puce,$6.13 
143,2931,07/23/18,Rubiaceae,96 Village Green Trail,765-988-1932,Teal,$6.25 
144,1593,08/29/18,Orchidaceae,4 Meadow Vale Court,175-363-3928,Blue,$8.48 
145,1200,08/20/18,Apiaceae,73 Rowland Road,953-649-5912,Violet,$7.88 
146,1863,09/03/18,Asteraceae,20 Cardinal Park,603-599-1166,Violet,$7.56 
147,1150,07/15/18,Rubiaceae,8260 Maryland Trail,666-780-7191,Blue,$9.87 
148,2618,08/08/18,Apiaceae,4115 Service Park,210-850-2018,Maroon,$9.16 
149,2231,10/13/18,Poaceae,1529 Hagan Avenue,228-171-7209,Yellow,$6.54 
150,2462,06/30/18,Loasaceae,15248 Mosinee Drive,665-649-5744,Blue,$5.53 
151,1352,06/07/18,Liliaceae,9 5th Park,850-140-8676,Aquamarine,$5.37 
152,1084,09/24/18,Poaceae,91030 Brentwood Street,842-241-3834,Blue,$7.03 
153,1132,09/16/18,Salicaceae,651 Forster Road,197-895-3719,Yellow,$9.88 
154,1537,07/12/18,Asteraceae,65911 Mariners Cove Crossing,283-338-0257,Green,$7.22 
155,1102,07/10/18,Violaceae,3 Briar Crest Lane,410-175-4813,Violet,$6.09 
156,1900,06/07/18,Asteraceae,479 Heffernan Way,154-745-1150,Teal,$8.75 
157,2558,07/12/18,Fabaceae,86 Sunfield Park,539-444-2166,Puce,$9.95 
158,1908,06/11/18,Brassicaceae,37 Messerschmidt Plaza,735-504-6343,Red,$7.72 
159,1027,06/26/18,Rutaceae,57 Hallows Trail,734-829-0411,Purple,$5.00 
160,1780,09/16/18,Ranunculaceae,58 Green Drive,727-481-4051,Khaki,$7.64 
161,1019,08/12/18,Violaceae,23460 Parkside Way,977-738-8000,Crimson,$5.30 
162,1307,09/26/18,Asteraceae,6 Warner Hill,390-616-2596,Teal,$5.35 
163,2543,06/23/18,Acanthaceae,798 Linden Trail,590-484-7404,Red,$6.62 
164,2508,08/01/18,Fabaceae,4197 Laurel Avenue,938-531-0693,Aquamarine,$5.29 
165,2531,10/02/18,Parmeliaceae,85929 North Trail,254-601-9272,Fuscia,$6.31 
166,1587,06/06/18,Clusiaceae,644 Summer Ridge Way,587-749-7296,Purple,$9.66 
167,1048,07/30/18,Polemoniaceae,72 Evergreen Junction,139-534-4295,Turquoise,$7.06 
168,1686,10/19/18,Dipsacaceae,10 7th Center,713-492-3817,Red,$9.97 
169,2478,08/06/18,Asteraceae,43 Sachs Trail,603-190-9275,Blue,$6.28 
170,2680,10/06/18,Calymperaceae,9 Norway Maple Parkway,923-971-3265,Indigo,$9.28 
171,2536,06/24/18,Campanulaceae,2926 Burrows Terrace,913-507-4363,Yellow,$7.26 
172,2058,05/30/18,Ditrichaceae,239 Thompson Way,882-993-2068,Fuscia,$7.50 
173,1709,05/05/18,Salicaceae,752 7th Point,941-342-3237,Fuscia,$8.90 
174,2998,05/27/18,Asteraceae,80 Corry Avenue,822-899-3515,Teal,$6.84 
175,2078,09/16/18,Bryaceae,8737 Moose Point,135-442-7014,Puce,$5.17 
176,2735,06/29/18,Asteraceae,56409 Commercial Place,988-962-6026,Orange,$8.86 
177,1218,09/13/18,Bryaceae,6 Ridgeway Street,309-774-4288,Pink,$8.81 
178,2451,08/25/18,Asteraceae,09741 Butterfield Avenue,751-940-2955,Yellow,$8.37 
179,1789,08/22/18,Fagaceae,88 Moland Drive,179-173-2955,Crimson,$8.87 
180,1342,10/13/18,Cyperaceae,1933 Melvin Road,669-515-7166,Blue,$6.82 
181,2811,05/26/18,Asteraceae,364 Carey Junction,967-765-2747,Indigo,$5.22 
182,2543,10/09/18,Physciaceae,8499 Boyd Hill,578-175-1855,Fuscia,$6.28 
183,2029,08/18/18,Myrtaceae,3557 Memorial Court,144-676-7187,Turquoise,$6.96 
184,2528,05/17/18,Poaceae,30671 Jenna Way,927-634-4240,Goldenrod,$8.44 
185,2898,10/10/18,Brassicaceae,65020 Lyons Plaza,234-829-5100,Khaki,$9.66 
186,1873,05/09/18,Brassicaceae,8 Di Loreto Road,277-198-4128,Indigo,$9.72 
187,2177,08/29/18,Poaceae,94 Gateway Trail,431-987-4823,Blue,$6.26 
188,1579,08/19/18,Chrysotrichaceae,9082 Magdeline Crossing,119-639-7899,Mauv,$9.33 
189,2305,07/09/18,Hydrophyllaceae,93287 Canary Park,154-880-2246,Maroon,$9.31 
190,1214,09/28/18,Poaceae,64 East Terrace,704-929-4519,Blue,$8.08 
191,2705,10/15/18,Droseraceae,749 Maple Wood Trail,450-398-8527,Red,$6.63 
192,1586,09/12/18,Caryophyllaceae,2 Mesta Court,144-267-1359,Green,$9.14 
193,1689,09/07/18,Urticaceae,0 Service Crossing,675-918-9092,Goldenrod,$5.15 
194,2879,05/12/18,Peltigeraceae,244 3rd Point,944-933-7589,Purple,$9.44 
195,2915,10/25/18,Passifloraceae,3 Valley Edge Pass,802-197-9132,Aquamarine,$5.21 
196,1665,10/09/18,Liliaceae,75786 Dapin Pass,853-407-4557,Violet,$5.03 
197,2062,10/19/18,Aspleniaceae,5 Messerschmidt Lane,247-867-8789,Red,$8.94 
198,1796,07/11/18,Myrtaceae,75 Hansons Terrace,572-958-2561,Maroon,$5.37 
199,2265,08/13/18,Fabaceae,8597 Coleman Hill,938-259-6576,Orange,$6.45 
200,2440,09/30/18,Cucurbitaceae,7283 Green Ridge Center,203-345-3535,Yellow,$9.20 
201,1070,09/30/18,Sphagnaceae,4 Packers Court,814-999-0685,Goldenrod,$8.04 
202,1461,07/03/18,Poaceae,6109 Granby Hill,340-669-3143,Purple,$6.37 
203,2694,09/01/18,Fabaceae,7689 Jenna Pass,394-677-1907,Crimson,$7.55 
204,1475,06/12/18,Seligeriaceae,8 Meadow Vale Hill,422-455-8083,Maroon,$9.02 
205,2033,10/14/18,Verbenaceae,634 Crowley Park,939-848-8324,Blue,$9.00 
206,2836,07/12/18,Cucurbitaceae,05890 Esker Pass,437-324-0368,Blue,$7.60 
207,1210,07/17/18,Fagaceae,66 Fairview Park,741-149-9931,Maroon,$7.35 
208,1246,08/25/18,Malvaceae,294 Mariners Cove Pass,856-761-7231,Khaki,$7.12 
209,1591,09/06/18,Fabaceae,8 Bobwhite Junction,913-370-7663,Orange,$5.61 
210,2140,10/06/18,Poaceae,85629 Melby Parkway,686-312-3579,Khaki,$6.85 
211,1056,06/30/18,Asteraceae,1 Arizona Hill,839-831-8084,Khaki,$7.19 
212,2039,09/28/18,Cornaceae,25 Colorado Parkway,191-711-9837,Red,$7.99 
213,2397,06/24/18,Orthotrichaceae,21 Columbus Way,205-861-3558,Crimson,$7.70 
214,2402,08/02/18,Cactaceae,35444 West Court,232-345-9445,Yellow,$6.39 
215,2208,08/23/18,Hydrophyllaceae,8 Village Crossing,617-458-9297,Yellow,$6.41 
216,1656,06/29/18,Scrophulariaceae,2245 Fair Oaks Plaza,993-618-1055,Crimson,$7.90 
217,1505,05/16/18,Rosaceae,7771 Clarendon Drive,520-370-3130,Green,$8.30 
218,2898,07/23/18,Rosaceae,578 Blackbird Alley,757-765-3456,Turquoise,$7.80 
219,1163,07/24/18,Scrophulariaceae,8477 Golden Leaf Plaza,688-330-2913,Red,$9.86 
220,2409,06/22/18,Pinaceae,28 Declaration Point,378-114-0173,Crimson,$5.32 
221,1093,09/05/18,Asteraceae,8846 Maple Wood Plaza,551-807-9479,Mauv,$6.87 
222,1292,10/29/18,Lamiaceae,12 Main Street,503-982-1353,Green,$6.45 
223,1210,10/10/18,Burmanniaceae,414 Comanche Plaza,706-154-4439,Goldenrod,$10.00 
224,1002,10/07/18,Myrsinaceae,1302 Buell Drive,138-778-2730,Teal,$8.76 
225,2179,08/09/18,Cyperaceae,19579 Hermina Alley,749-371-9166,Red,$9.31 
226,2694,09/08/18,Hydrophyllaceae,0670 Susan Crossing,583-363-3176,Goldenrod,$8.84 
227,2988,09/01/18,Cucurbitaceae,9279 Schurz Drive,238-240-9783,Mauv,$9.54 
228,1265,07/12/18,Zamiaceae,19 Ridgeway Plaza,352-897-0376,Purple,$6.23 
229,1138,05/26/18,Euphorbiaceae,294 Tomscot Point,331-626-8663,Orange,$5.43 
230,2303,07/18/18,Primulaceae,27 Beilfuss Court,171-541-7306,Fuscia,$7.10 
231,1423,06/26/18,Boraginaceae,786 Westport Trail,330-582-2496,Crimson,$8.95 
232,2405,09/06/18,Tropaeolaceae,429 Manufacturers Junction,130-633-5932,Turquoise,$9.16 
233,1660,07/04/18,Onagraceae,178 Wayridge Junction,823-376-4787,Mauv,$8.82 
234,2285,05/10/18,Graphidaceae,895 Judy Junction,512-440-3571,Yellow,$8.72 
235,2322,06/21/18,Pottiaceae,368 Hintze Way,120-340-7637,Aquamarine,$5.81 
236,2604,06/01/18,Asclepiadaceae,58 Mesta Drive,463-252-7714,Red,$6.97 
237,1862,07/03/18,Lycopodiaceae,9 Portage Center,812-153-1940,Khaki,$9.03 
238,1144,06/22/18,Caryocaraceae,7830 Homewood Trail,820-237-9472,Crimson,$6.04 
239,1618,05/12/18,Asteraceae,7474 Anthes Plaza,815-498-4898,Teal,$7.34 
240,2540,09/01/18,Lichinaceae,520 Mockingbird Lane,283-585-5584,Yellow,$6.39 
241,2079,07/17/18,Poaceae,80693 Valley Edge Alley,783-316-6259,Teal,$9.58 
242,2997,09/03/18,Campanulaceae,6 Hermina Plaza,797-334-9522,Aquamarine,$5.66 
243,1358,10/18/18,Parmeliaceae,8 West Street,724-771-2320,Indigo,$6.94 
244,2388,08/18/18,Liliaceae,5 Golf Park,557-700-4291,Purple,$7.11 
245,1372,08/05/18,Asteraceae,6 Drewry Hill,357-139-0297,Goldenrod,$5.12 
246,1712,10/02/18,Ericaceae,03797 Morrow Crossing,363-398-1571,Crimson,$7.54 
247,2107,09/15/18,Bombacaceae,0572 Crescent Oaks Point,670-188-4554,Aquamarine,$9.42 
248,1898,05/15/18,Fabaceae,8021 Elka Center,772-761-4476,Goldenrod,$5.86 
249,2477,06/05/18,Fabaceae,0099 Susan Drive,939-218-8032,Violet,$9.78 
250,2842,05/06/18,Lamiaceae,47 Merrick Street,769-246-5227,Maroon,$8.80 
251,1417,09/11/18,Cyperaceae,117 Sommers Crossing,923-222-3242,Khaki,$9.65 
252,2043,08/12/18,Apiaceae,455 Continental Point,685-545-4184,Blue,$7.67 
253,1949,10/21/18,Collemataceae,98319 Helena Road,488-303-4031,Fuscia,$6.59 
254,2851,09/16/18,Uncertain Ascomycota Family,3848 Derek Circle,325-500-7558,Maroon,$8.32 
255,1012,09/20/18,Pinaceae,58 Oak Valley Lane,376-862-8343,Blue,$8.80 
256,1764,07/21/18,Poaceae,01 New Castle Pass,414-173-5889,Turquoise,$8.63 
257,2955,05/17/18,Cyperaceae,3951 Stuart Center,884-630-3133,Khaki,$6.39 
258,1910,09/25/18,Piperaceae,0281 Monterey Parkway,407-787-9921,Green,$6.19 
259,2917,06/23/18,Sarraceniaceae,3137 Elka Crossing,189-917-9381,Khaki,$6.22 
260,1267,07/02/18,Caryophyllaceae,44327 Carpenter Way,696-504-0384,Aquamarine,$9.50 
261,1627,10/29/18,Polemoniaceae,4 Orin Lane,851-523-9525,Green,$9.11 
262,1692,07/02/18,Cyperaceae,14055 Valley Edge Court,633-441-9565,Red,$8.81 
263,1515,05/15/18,Fabaceae,3 Pierstorff Court,382-320-3190,Orange,$7.46 
264,2107,08/15/18,Campanulaceae,18 Schlimgen Hill,395-168-6351,Red,$5.56 
265,1012,10/09/18,Polemoniaceae,42 Bobwhite Place,520-375-1704,Orange,$5.55 
266,2052,05/12/18,Crassulaceae,8605 Veith Crossing,653-788-6817,Goldenrod,$9.90 
267,2106,05/15/18,Boraginaceae,7637 Golf View Lane,900-571-4264,Orange,$8.96 
268,2694,10/26/18,Myrtaceae,7099 Rowland Street,402-568-2913,Crimson,$6.96 
269,2211,09/25/18,Asteraceae,37725 Mitchell Terrace,686-435-1733,Mauv,$9.94 
270,2307,07/28/18,Asteraceae,8107 Coolidge Hill,450-726-5302,Puce,$9.15 
271,2624,09/15/18,Porpidiaceae,08549 Ohio Place,666-281-6792,Red,$8.99 
272,2999,06/05/18,Amaranthaceae,55 Norway Maple Crossing,135-176-8346,Pink,$8.22 
273,1255,08/16/18,Asteraceae,87 High Crossing Terrace,902-240-9659,Goldenrod,$8.37 
274,1323,09/15/18,Apocynaceae,2413 Blaine Center,110-878-5028,Fuscia,$6.58 
275,2575,07/10/18,Asteraceae,27264 Mifflin Plaza,417-340-9011,Blue,$9.29 
276,1022,08/14/18,Commelinaceae,84996 Bashford Street,966-851-3307,Blue,$8.15 
277,2785,08/16/18,Lamiaceae,9676 Harbort Center,140-104-1759,Indigo,$9.42 
278,2239,07/26/18,Fagaceae,76 Scofield Trail,171-358-4975,Mauv,$6.05 
279,2187,09/24/18,Verbenaceae,099 Center Street,150-599-8011,Crimson,$8.91 
280,1873,09/26/18,Rhamnaceae,65917 Sunbrook Place,987-913-9637,Fuscia,$7.85 
281,2830,06/28/18,Pottiaceae,7 Shopko Circle,851-106-3013,Purple,$8.70 
282,1835,05/22/18,Ranunculaceae,7077 Monica Avenue,159-406-1656,Pink,$6.62 
283,2768,07/16/18,Physciaceae,6 Carey Lane,805-905-8889,Goldenrod,$5.78 
284,2040,10/22/18,Rosaceae,665 Dapin Court,615-765-4431,Fuscia,$6.33 
285,1746,06/27/18,Brassicaceae,87096 East Point,901-709-5880,Puce,$6.79 
286,1232,08/09/18,Campanulaceae,17 Main Junction,267-271-3516,Fuscia,$5.98 
287,1646,10/12/18,Apiaceae,552 Roth Junction,658-617-3489,Teal,$7.13 
288,2498,10/05/18,Brassicaceae,461 Carberry Court,797-942-7006,Aquamarine,$7.71 
289,1001,09/29/18,Iridaceae,10 Service Crossing,277-950-7265,Aquamarine,$9.13 
290,2572,09/22/18,Araceae,75 Sauthoff Pass,868-471-5730,Goldenrod,$9.36 
291,1812,05/18/18,Convolvulaceae,3515 Ruskin Street,817-256-2813,Purple,$6.89 
292,1380,09/03/18,Poaceae,3 Hoard Terrace,712-885-1175,Orange,$6.19 
293,1870,08/08/18,Commelinaceae,112 Heath Court,450-115-2454,Pink,$5.80 
294,2900,05/22/18,Salicaceae,8 Anderson Park,303-316-8528,Turquoise,$9.75 
295,2494,09/27/18,Parmeliaceae,786 Becker Lane,464-100-6800,Turquoise,$9.32 
296,1151,06/18/18,Fabaceae,54 Grayhawk Street,827-633-6737,Turquoise,$8.18 
